Comment,Class
팩트) 조센징은 코로나 터지기 전기까지 위생개념이라곤 없었다,1
한화 부회장 점마 저거 안되겠네 ㅉㅉ,0
이런데도 디씨같은 대형 커뮤니티에 짱깨발 여론조작이 없다고? ㅋㅋㅋ 자국민 보고 센징이라고 그러고 혐한 글 올리는 새끼들은 짱깨 좆족이라고 보면 된다,1
특히 제식갤 이 새끼들은 저번에 태극기 쳐 불태워서 신고당하고 인실좆당한 적도 있으며 금지어보면 ㄹㅇ 가관임 짱깨 아닐 수가 없음,1
당장 테드 샨테만봐도 조선족 우마오당 ㅋ  - dc App,0
야갤 고닉출신중 상당수가 짱개조선족인건 뭐 선악이 같은 놈은 히어로갤 프로레슬링갤같은 중소갤가서 여론주작질중  - dc App,1
니들 올림픽 대표 대한민국 프랑스 축구 3대0으로 이긴거 아냐https://youtu.be/nuY8Fgi-5Kc?si=v20LdV2io32at265,0
틀구이 여론조작,1
[[[[[[[[[ 단톡방 펌글 주작념글이 싫다면 여기로 가자!! ]]]]]]]]],0
투기충갤이랑 주갤 똥튀기갤을 왜가노,1
xg갤 메이지유신갤 같은거지 ㅋㅋ,0
좌파=짱깨,1
성상납견 = 짱깨,1
듣보잡 사이트네,1
틀구이들만 호들갑인듯,1
자유일보 옳았다는 북 짱 증서 떳노 ㅋㅋㅋㅋ,1
이게 민주당이 이동관을 하루빨리 탄핵 시키고 싶은 이유지  - dc App,0
부정선거만큼은 막아야한다...,0
좌빨쉨들이 외신이라 퍼오는것들도 ㅋ,1
Pdf,0
윤카 통베멀티국짐갤 보고 반중외치다가 무역적자 심하던데ㅋㅋ,1
자유일보 씹 ㅋㅋ,1
자유일보 전광훈이 옳았다는 북 짱 증서 떳노 ㅋㅋㅋㅋ,1
결국 자유일보 =전광훈 광신도=야갤 정치병 틀구이 ㅋㅋㅋ,1
착짱죽짱!!!,1
저런 사이트들 조회수가 처참하던데 많아야 멱뱇수준 ㅋㅋ,0
요즘 야갤도 수상함,0
ㅂㄷㅂㄷ한 조선족 근황https://m.dcinside.com/board/baseball_new11/10372287,0
근데저런데 들어가고 저런거 믿는 사람이 있음? ㄹㅇ 틀딱들도 안 속을거같은데 ㅋㅋ,0
ㅋㅋㅋㅋㅋㅋㅋ,0
걍 짱깨=민주당인거지,1
짱깨노예사이트 디시가 있으니 걱정말라구~,1
중국발 가짜정당 출신이 대선에서 아슬아슬하게 발린 나라에서 가짜사이트 쯤이야,0
전라스럽네,1
짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨 = 민주당 = 짱깨,1
중국이 이기길,0
중국 이겨라,0
개혁의 암컷 썩은내 존나나노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ - dc App,1
중국이 조 센 징 패죽여,1
바퀴벌레는 난징 대학살 때 다 죽였어야했는데 일본이 너무 봐줬다,0
한양대총학생회장 LG3세 이상현으로 검색이 되는 사람으로부터 20살부터 전파강간 당했습니다LG전자강남본점을 다녀온뒤로 다시시작되었고여 머리에서는 극초단파가 검출되었고 전파무기 피해자 증명서도 있습니다  어머니는 몇달전 위암수술하게하고 목숨보다 소중한 가족은 희귀병,1
헬조선... 日本에서 못태어난게 원통하다. 餘生은 착하게 살아서 다음 생은 日本이나美노려본다....  - dc App,0
찢재명과 586 운동권 싹다 잡아다 홍어랑 같이 삭혀야 되는데,1
더불어 짱개당 더듬어 페미당 안사요~,1
Mbc가 하고있는데 귀찮구로 뭐하러 만들었노?,0
조선일보 안믿어요,0
짱깨새끼들 또 이번 총선 주작에 목숨 걸었음민주당 = 짱깨 = 절라도 = 언론노조 다 한패임짱깨새끼들 또 이번 총선 주작에 목숨 걸었음민주당 = 짱깨 = 절라도 = 언론노조 다 한패임짱깨새끼들 또 이번 총선 주작에 목숨 걸었음민주당 = 짱깨 = 절라도 = 언론노조 다 한패임짱깨새끼들 또 이번 총선 주작에 목숨 걸었음민주당 = 짱깨 = 절라도 = 언론노조 다 한패임짱깨새끼들 또 이번 총선 주작에 목숨 걸었음민주당 = 짱깨 = 절라도 = 언론노조 다 한패임짱깨새끼들 또 이번 총선 주작에 목숨 걸었음민주당 = 짱깨 = 절라도 = 언론노조 다 한패임짱깨새끼들 또 이번 총선 주작에 목숨 걸었음민주당 = 짱깨 = 절라도 = 언론노조 다 한패임  - dc App,1
냐아아 도키도키시테타,0
이거 들여온게 좌파 민주당 새기들임 지들 정궈잡으려고 ㅉㅉ,0
이걸아직모른다고??? 국민들이 얼마나 순수한거노 ㅠㅠ,0
씨발 돌창 짱깨들,1
이미 좌빨이 열심히 하고 계셔서 과반이 그짝인데,0
천안문 온라인 안여나,0
속보)) 좌빨 귀족 노조들 정부에 총파업 협박https://m.dcinside.com/board/baseball_new11/10374700,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
ㅋㅋㅋㅋ ㅋ,0
ㅋㅋㅋㅋㅋㅋㅋz,0
""" 찢 "" 어드립니다",1
캬 ㅋㅋㅋ,0
속보)) 좌빨 귀족 노조들 정부에 총파업 협박https://m.dcinside.com/board/baseball_new11/10374700개추,1
쵸마마 쵸마마마ㅏ,0
미친 야붕이보다 낫네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
코서인 시즌 1호 만신ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ코서인 시즌 1호 만신ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ코서인 시즌 1호 만신ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ코서인 시즌 1호 만신ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ코서인 시즌 1호 만신ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ코서인 시즌 1호 만신ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ코서인 시즌 1호 만신ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ코서인 시즌 1호 만신ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
겁내 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
어허! ㅋㅋㅋㅋㅋㅋㅋㅋ,0
대서인 부활 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
킹 서 인,0
형수땜에 힘들죠?? '찢어드리겠슴다' 형수땜에 힘들죠?? '찢어드리겠슴다' 형수땜에 힘들죠?? '찢어드리겠슴다' 형수땜에 힘들죠?? '찢어드리겠슴다' 형수땜에 힘들죠?? '찢어드리겠슴다' 형수땜에 힘들죠?? '찢어드리겠슴다' 형수땜에 힘들죠?? '찢어드리겠슴다' 형수땜에 힘들죠?? '찢어드리겠슴다' 형수땜에 힘들죠?? '찢어드리겠슴다' 형수땜에 힘들죠??,1
시발 올해 내내 버로우하더니 여기서 한방을ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
홈런타자같노 ㅋㅋㅋ,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
박수홍 형수가 빠졌네,0
형수 전문 ㅇㅈㄹ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
가서 부탁해라 형수쪽은 전문이시다,0
전문가한테 맡겨야 처리가 깔끔하긴해 ㅋㅋㅋ,0
코서인 병신같은거 거르고 존나 웃기긴 하네 ㅋㅋㅋㅋㅋ - dc App,1
"왜, 느그 좆도리 씹창새끼보다는 코주부가 항상 조금 낫긴 했는데",1
ㄴㄹㅇㄹㅇㅋㅋ,0
법무법인 '찢'  - dc App,1
아니시발 갓서인 좆되놐ㅋㅋㅋㅋ,1
코서인 이제야한건하노ㅋㅋ,0
대신 ㅂㅈ를 찢어주겠네 ㅋ  - dc App,1
만신 또 당신입니까,0
드럼통 ㄷㄷㄷ,0
어휴 또 분위기 못 챙기네 평소에 재미없다는 말 많이 듣지?,0
그냥 웃어 씨발아,1
대신보지찢어드리겠습니다,1
찢ㅋㅋㅋㅋㅋ,1
zzzzzㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅈㄴ웃기노,1
씨밯ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  - dc App,1
씹구멍 찢어서 좆탱이에,1
역시 진정한 참윤카ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
국민의힘 당원 윤서인. 역시 애국보수,0
형보수지 찢!!,1
이건 인정할수밖에없네 ㅋㅋㅋㅋㅋㅋㅋㅋ,0
ㅌㅋㅋ시발 ㅋㅋㅋ폼올라왔노,1
갑자기 폼 ㅈㄴ 올랏노 ㄷㄷㄷ,1
그냥 웃어 ㅋㅋㅋㅋㅋㅋ,0
형수욕설 이재명,0
만신의 품격 돌았노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
형수전문 찢 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
살인마 전문 변호사인데 저정도 변호쯤은 식은죽먹기지,0
만신,0
업계 1타 ㄷㄷ,0
윤서인 그림 실력만큼만 보면 1티어 맞음 ㅋㅋㅋ,0
형보수지?,1
만신 ㅋㅋㅋ,0
형수 패는건 원탑이지ㅋㅋㅋ,0
진짜만신 그자체 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
만신 폼 좆되노 ㅋㅋㅋㅋ,1
양복자켓 파란색으로 했어야짘ㅋㅋㅋㅋ  - dc App,0
형수 담당일진 ㅋㅋㅋㅋㅋ,0
형수 보찢 전문 변호사 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
형수 1타(진짜 타격함) 강사,0
진짜 요새 서인햄 행보 개호감이네 ㅋㅋㅋㅋ숲튽훈 형님처럼 이제 용서해주고 갤주삼아야한다,0
k만화 윤카 든든하다 윤버지 마음이 따뜻해진다,0
찢었다,0
"평생 ""형보수지""란 말을 달고 살겠지만 일단 무죄각으로 만들어줄듯ㅋㅋㅋㅋㅋㅋ",1
야갤도 망했네 ㅋㅋㅋㅋㅋㅋ념글 상태봐라,0
딴거보고 망했다고 하는것도 아니고 만신 유니버스는 10년전에도 야념에올라왔는데 ㅄ아,1
어서와라 야갤은 처음이노?,0
국내포애갤러리 됐구만 ㅋㅋㅋㅋㅋㅋㅋㅋ 만신 까는게 아니자너?,0
그럼 무슨글이 있어야 되는지 말해볼래?,0
윤두창 까는글이 념글에 있어야 되나 보지,0
정치글만 있을땐 망한게 아니었노..?,0
막컷 ㅋㅋㅋ,0
속보)) 좌빨 귀족 노조들 정부에 총파업 협박https://m.dcinside.com/board/baseball_new11/10374700강민추,1
멋있네,0
성모유니버스 ㅋㅋㅋㅋㅋㅋ,0
막짤 씨발아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
자기새끼 책임지는 저런모습 보이면 밑에 일하는 창녀들 다 씨받으려고할텐데 콘돔 몰래 빼고 ㅋㅋ,1
웃긴건 양놈 불법 사이트에서 평점 존나 높음 ㅋㅋㅋㅋ 평도 개좋음,1
링크좀,0
서양에서 보면 색다르긴 하겠다 ㅋㅋ,0
어감이나 이런거는 못살리겠네,0
남자다움이 넘쳐흐르니 그럴수도 잇겟노ㅋㅋ,0
외국도 초월번역 같은거 잘함,0
쩌노 ㅋㅋㅋㅋㅋㅋ,0
에? 그게 아줌마 거기 뭔가 시커메서 징그러워 그리고 완전 냄새나 우리학교 닭장이랑 똑 같은 냄새가 난단 말이야,0
막짤뭔데 ㅋㅋㅋ  - dc App,0
아가씨에서 마담급으로 고속승진 캬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
포주연합회.... 취업하고 싶다노,1
기껏 책임져주는게 포주 만들어주고 자식새낀 창녀촌앞에서 키우면서 서울대 고시패스 ㅅㅂ 가성비 씹지리노 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
남깡여창 만신 ㅋㅋㅋㅋ,1
ㅅㅂㅋㅋㅋ,1
ㅋㅋㅋㅋㅋㅋㅋㅋ,0
사법고시와 창녀 왜이렇게 익숙하지,1
포주연합회 ㅋㅋㅋㅋㅋ 존나 당당하노 ㅋㅋㅋㅋ  - dc App,1
[[[[[[[[[ 단톡방 펌글 주작념글이 싫다면 여기로 가자!! ]]]]]]]]]부동산갤 https://gall.dcinside.com/board/lists?id=immovables  주갤 https://gall.dcinside.com/board/lists?id=neostock,0
남성호르몬 치사량 맞았노 씹 ㅋㅋㅋㅋ,1
남깡여창 그것은 불변의 진리,1
팩트 : 숫센은 절대로 암센 보빨을 포기못한다,1
씨발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 대체 무슨 세계관이노,1
책임은 지네 ㄹㅇ,0
역시 만신 흡입력 지리노 ㅋㅋㅋㅋㅋ,0
속보)) 좌빨 귀족 노조들 정부에 총파업 협박https://m.dcinside.com/board/baseball_new11/10374700만신추,1
아 존나 웃기네 이래서 좆본씹덕만화는 대한민국 만화를 못 따라오지   - dc App,1
전경련vs 포주연합회 누가 더 빠워있냐시발,1
포주연합회 ㅋㅋㅋ 이런거 진짜 있었냐?,1
김성모 월드에서는 택시기사만 해도 상위 10%임,0
조국도 못한걸...창녀아들이,1
상남자 ㅇㅂ,1
"막짤 창녀들 김정숙, 김건희, 김혜경이냐?",1
잘가라,0
지는 깡패면서 지 자식은 자기 닮아서 사법고시 하랜다ㅋㅋㅋㅋㅋ양심 어따팔아먹은겨,1
로맨티스틐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ -,0
전포련 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,1
남자=임신시킨여자 평생 일자리 주고 직원도 줌 여자=낙태 안함 책임감 원툴 낭만시대,1
근본,0
역시 만신 ㅋㅋㅋ,0
속보)) 좌빨 귀족 노조들 정부에 총파업 협박https://m.dcinside.com/board/baseball_new11/10374700현수추,1
근데 저 아들도 깡패될듯ㅋㅋㅋ,0
ㅇㅇ 깡패 됨 ㅋ,0
남깡여창  - dc App,1
존나 천박해서 웃김 ㅋㅋ,1
창녀도 승진을하노,1
남깡여창 유니버스 개씹 ㅋㅋㅋㅋㅋㅋ,1
세번은 본거 같다 고마올려,0
야구리 ㅋㅋㅋㅋ,1
이게 만신이지 씨발 틀딱새끼들 밑에 좆서인 만화 쳐올리고 만신이라고 낚시질;,1
부산 그 드센년들하고 일하는걸 보니 오래 못가겠노 ㅋㅋ,1
깡패새끼가 지 자식은 사법고시 패스시키라노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
진짜 만신은 만신이다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ시발 - dc App,1
미친새끼 돈 많으면 고급 카페나 음식점 차려주지 지방에 건물사줘서 월세 받게하든지 지 애엄마한테 창년촌 포주 시키노 창녀들이랑 부비면서 서울대 법대 잘도 들어가겠다 만신만이 할 수 있는 설정,1
이거 올라오는거 몇번을 봤는데 이 생각을 못했네,0
돈 최대로 끌어모을수있는게 저거라고 생각한듯,0
만신 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
ㅁㅊ ㅋㅋㅋㅋㅋㅋ  - dc App,0
운동시키면 십중팔구 깡패된다 > 깡패플래그 확정,0
나도 근육 탄탄하고 남자다운 조폭 형이랑 둘이서 즐거운 시간 보내고 싶다...,0
?  - dc App,0
와 ㅋㅋ 00년대 mz세대한태는 찾아볼수없는 저 남자다움 ㄷㄷ,0
ㄹㅇㅋㅋㅋㅋ,0
씹상남자식 일처리,1
ㄹㅇ 상남자노 ㅋㅋㅋ,0
건달이 가자고 하니까 애새끼 꼬라보는거 봐라 ㅋㅋ 어디 섬에 팔려가는줄 알고,1
포주연합회 최고의장이 강남업소 8군데 돌림..재산1조 넘음,1
”낭만“ - dc App,0
경찰부터 조져야지ㅋㅋ  - dc App,0
경찰은 혐의가 있으니 조사한거고..,0
증거도 없이? 증언으로만?  - dc App,0
법에 경찰은 의혹의 느낌 즉 촉이나 삘만 있어도 수사 가능하다고 되어 있음. 일반인은 다르지,0
검찰부터 조져야지,1
이대남들 몇명 고소당하겠노 ㅋㅋㅋ 꿀잼 ㅋㅋㅋㅋ디씨나 일베에서도 인증하고 공무원 탈락한애들도 넘쳐나는데ㅋㅋㅋㅋㅋ,1
뭔진 모르지만 죽도록 싸워라 싸워서 강한 놈만 살아 남아라 ㅋ,1
나만 아니면 된다 이기ㅋㅋㅋㅋㅋㅋㅋ,1
진짜 이 정권은 마약수사 한다면서 제대로 하는게 머ㅓ냐,0
재매이햄 근황https://m.dcinside.com/board/baseball_new11/10371514,0
두창견 틀딱들 많이 실려가겠네 ㅋㅋ,1
포애 이새끼 축리웹 인증하노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ짭새들이 전국민 상대로 낚시질해서 다 낚인건데 뭘 뻑가탓을하노 뻑가 아니라도 짭새들이랑 언론들 말만듣고 다들 지디 약쟁이라고 욕하고 뻑가는 그중 한명일뿐인데 마치 자긴 지디 첨부터 믿은척 태세전환 씹ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
ㄹㅇ 딱 축리웹식 태세전환ㅋㅋㅋㅋㅋㅋㅋㅋㅋ그새끼들 포텐에서 지디 약쟁이로 확정해놓곤 음성나오니까 다 뻑가가 선동한거다 이지랄하고 입 싹 닫고있음ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
포애 축리웹 축첩인거 아직도 몰랐노ㅋㅋㅋㅋㅋㅋ저새끼 주작념글 다 축리웹 포텐 잉여글 그대로 퍼오는거임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
오빠 살려달라고 설레발 치던 애들도 잡아가냐?  - dc App,0
뻑가 이전에 디씨 펨코 여시 앰생들부터 조져질텐데?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
꺼ㅡㅡㅡㅡ억,0
어차피 여시 축리웹만 개좆댐 ㅅㄱㅋㅋ,1
야갤은 아닐거라고 생각하는게 웃기네 ㅋㅋㅋㅋ,0
고소해서 번 돈으로 새 앨범내라  - dc App,0
짤 돌아다닌건 ㄹㅇ 스웩이었노 ㅋㅋㅋㅋㅋㅋㅋ,0
나만 아니면 된다 ㅋㅋㅋ,0
난 뻑가보다 축리웹이 훨씬 더 극혐인데 포애 씨발련ㄴ아 축리웹 똥 퍼와서 주작치고 념글 도배 작작하고 축리웹으로 꺼져 앰창 잉여인생 축리웹 축첩새끼야ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
뻑가가 더 심하지 안음?,0
ㄴ-축-,0
마약 수사쫌 제대로 해라 마약 유통책을 잡아야지 유명인 하나 잡아서 뭐할래?,0
그래도 뻑가 영상 삭제했는데 좀 봐주자. 뻑가만큼 설명잘하는 렉카가 어딨어,0
뻑가 정의구현 개사이다노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋ  - dc App,1
당당하신분  - dc App,0
이건 견찰새끼들이 국민들 상대로 선동질해서 다들 속아 넘어간건데 왜 뻑가탓?견찰들이 잘못한거지ㅋㅋㅋㅋㅋㅋ그래서 뻑가도 지디가 자진 출석하니까 바로 영상 삭제하고 견찰들 욕하는 영상 올렸는데.글고 일단 뻑가 전에 주작충 포애 이새끼부터 조졌으면 좋겠노ㅋㅋㅋㅋㅋㅋ념글 도배 애미디졌노 씨발ㅋㅋㅋㅋㅋㅋㅋ,1
졸ㅡ렬,1
혀가 기노ㅋㅋㅋㅋㅋ이미 늦었다노ㅋㅋㅋ,0
77ㅓ 억,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
캬ㅑㅑㅑ 난 지드래곤 믿고있었다 누가봐도 마약아닌데 ㅋㅋㅋㅋㅋ 수고해라 악플러들아 ㅋㅋㅋ - dc App,0
"========== 이선균도 지드래곤과 마찬가지로 검사결과 전부 음성이 나왔으므로 본인이 ""모르고 한 거지만 마약을 하긴 했으며 그로 인해 협박받아 3억을 건네주었다""고 말한 부분은 거짓말이라고 보는 것이 맞다는 소리인 것일까? ===================",0
"""응 짭새들이 먼저 지디 마약했다 그래서 무조건 믿고 그렇게 말했을뿐이다 그러면 그만이야 오늘도 여전히 뻑가~~~뉴ㅆ""ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",1
졸렬하게 경찰 방패삼누ㅋㅋㅋㅋ응 늦었어ㅋㅋ,0
